epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.8487,3.96147,5.07643,4.30069,0.00057,0.11111,0.00035,7e-05,4.58195,5.23425,4.16001,8e-05,8e-05,8e-05
2,40.1595,4.34234,5.81088,4.25039,0.00057,0.11111,0.00035,7e-05,4.58264,5.23491,4.16106,0.00017109,0.00017109,0.00017109
3,41.4745,4.11886,5.09366,4.22123,0.00057,0.11111,0.00035,7e-05,4.58532,5.2403,4.16266,0.00025228,0.00025228,0.00025228
4,42.7185,4.00554,4.98993,4.2163,0.00057,0.11111,0.00036,7e-05,4.58495,5.24197,4.16451,0.00032357,0.00032357,0.00032357
5,43.9213,4.04622,4.78077,4.2132,0.00057,0.11111,0.00035,7e-05,4.58806,5.24688,4.16886,0.00038496,0.00038496,0.00038496
6,45.1079,3.99117,4.95621,4.09474,0.00057,0.11111,0.00035,8e-05,4.59041,5.25734,4.1724,0.00043645,0.00043645,0.00043645
7,46.2975,3.74025,4.63264,4.05357,0.00058,0.11111,0.00036,8e-05,4.58987,5.26669,4.17815,0.00047804,0.00047804,0.00047804
8,47.4517,3.9486,4.92588,3.99075,0.00057,0.11111,0.00035,8e-05,4.59515,5.28112,4.18287,0.00050973,0.00050973,0.00050973
9,48.6801,3.60814,4.5463,3.91933,0.00057,0.11111,0.00033,8e-05,4.59551,5.30218,4.19138,0.00053152,0.00053152,0.00053152
10,49.8805,3.24587,4.73576,3.84057,0.00058,0.11111,0.00033,8e-05,4.59583,5.3134,4.19566,0.00054341,0.00054341,0.00054341
11,52.1906,3.52371,5.54774,3.7866,0.00057,0.11111,0.00035,9e-05,4.59965,5.32547,4.20039,0.0005454,0.0005454,0.0005454
12,53.5332,3.30742,5.42967,3.8588,0.00057,0.11111,0.00034,9e-05,4.6087,5.33914,4.20358,0.00053749,0.00053749,0.00053749
13,54.7074,3.22468,5.23326,3.65255,0.00057,0.11111,0.00034,9e-05,4.61571,5.34949,4.20914,0.00051968,0.00051968,0.00051968
14,56.2304,3.21027,5.05303,3.62615,0.00058,0.11111,0.00035,8e-05,4.64049,5.38766,4.23138,0.00049197,0.00049197,0.00049197
15,57.4071,3.37172,5.09797,3.5766,0.00058,0.11111,0.00034,8e-05,4.6464,5.39538,4.23378,0.00045436,0.00045436,0.00045436
16,58.5398,3.11556,4.91164,3.45536,0.00057,0.11111,0.00033,7e-05,4.64788,5.39172,4.2286,0.00040685,0.00040685,0.00040685
17,59.6876,3.19331,4.93729,3.47513,0.00058,0.11111,0.00033,7e-05,4.63206,5.36147,4.2021,0.00034944,0.00034944,0.00034944
18,60.8424,3.13747,5.04884,3.43294,0.00058,0.11111,0.00034,7e-05,4.63332,5.36131,4.19888,0.00028213,0.00028213,0.00028213
19,61.9922,3.02176,4.92964,3.34158,0.00048,0.09259,0.00027,6e-05,4.63716,5.37208,4.20019,0.00020492,0.00020492,0.00020492
20,63.1401,2.95482,4.76793,3.35888,0.00048,0.09259,0.0003,6e-05,4.63413,5.36895,4.19661,0.00011781,0.00011781,0.00011781
